step,x,y
309,0,19
310,1,19
311,2,19
312,2,20
313,1,20
314,0,20
315,0,21
316,1,21
317,2,21
318,3,21
319,4,21
320,5,21
321,6,21
322,6,22
323,5,22
324,4,22
325,3,22
326,2,22
327,1,22
328,0,22
329,0,23
330,1,23
331,2,23
332,3,23
333,4,23
334,5,23
335,6,23
336,6,24
337,5,24
338,4,24
339,3,24
340,2,24
341,1,24
342,0,24
343,0,25
344,0,26
345,1,26
346,1,25
347,2,25
348,2,26
349,3,26
350,3,25
351,4,25
352,4,26
353,5,26
354,5,25
355,6,25
356,6,26
357,6,27
358,5,27
359,4,27
360,3,27
361,2,27
362,1,27
363,0,27
364,0,28
365,1,28
366,2,28
367,2,29
368,1,29
369,0,29
370,0,30
371,0,31
372,1,31
373,1,30
374,2,30
375,2,31
376,3,31
377,3,30
378,3,29
379,3,28
380,4,28
381,4,29
382,4,30
383,4,31
384,5,31
385,5,30
386,5,29
387,5,28
388,6,28
389,6,29
390,6,30
391,6,31
392,7,31
393,7,30
394,7,29
395,8,29
396,8,30
397,8,31
398,9,31
399,10,31
400,10,30
401,9,30
402,9,29
403,10,29
404,10,28
405,9,28
406,8,28
407,7,28
408,7,27
409,8,27
410,9,27
411,10,27
412,10,26
413,9,26
414,8,26
415,7,26
416,7,25
417,8,25
418,9,25
419,10,25
420,10,24
421,9,24
422,8,24
423,7,24
424,7,23
425,8,23
426,8,22
427,7,22
428,7,21
429,8,21
430,9,21
431,9,22
432,9,23
433,10,23
434,10,22
435,10,21
436,11,21
437,11,22
438,11,23
439,12,23
440,12,22
441,12,21
442,13,21
443,14,21
444,14,22
445,13,22
446,13,23
447,14,23
448,14,24
449,13,24
450,12,24
451,11,24
452,11,25
453,12,25
454,13,25
455,14,25
456,14,26
457,13,26
458,12,26
459,11,26
460,11,27
461,12,27
462,13,27
463,14,27
464,14,28
465,13,28
466,12,28
467,11,28
468,11,29
469,12,29
470,12,30
471,11,30
472,11,31
473,12,31
474,13,31
475,13,30
476,13,29
477,14,29
478,14,30
479,14,31
480,15,31
481,15,30
482,16,30
483,16,31
484,17,31
485,17,30
486,17,29
487,16,29
488,15,29
489,15,28
490,16,28
491,17,28
492,17,27
493,16,27
494,15,27
495,15,26
496,16,26
497,17,26
498,17,25
499,16,25
500,15,25
501,15,24
502,16,24
503,17,24
504,17,23
505,16,23
506,15,23
507,15,22
508,15,21
509,16,21
510,16,22
511,17,22
512,17,21
513,18,21
514,18,22
515,18,23
516,19,23
517,19,22
518,19,21
519,20,21
520,20,22
521,20,23
522,20,24
523,19,24
524,18,24
525,18,25
526,19,25
527,20,25
528,20,26
529,19,26
530,18,26
531,18,27
532,19,27
533,20,27
534,20,28
535,19,28
536,18,28
537,18,29
538,18,30
539,18,31
540,19,31
541,19,30
542,19,29
543,20,29
544,20,30
545,20,31
546,21,31
547,21,30
548,22,30
549,22,31
550,23,31
551,23,30
552,23,29
553,22,29
554,21,29
555,21,28
556,22,28
557,23,28
558,23,27
559,22,27
560,21,27
561,21,26
562,22,26
563,23,26
564,23,25
565,22,25
566,21,25
567,21,24
568,22,24
569,23,24
570,23,23
571,22,23
572,21,23
573,21,22
574,21,21
575,22,21
576,22,22
577,23,22
578,23,21
579,24,21
580,25,21
581,25,22
582,24,22
583,24,23
584,25,23
585,25,24
586,24,24
587,24,25
588,25,25
589,25,26
590,24,26
591,24,27
592,25,27
593,25,28
594,24,28
595,24,29
596,24,30
597,24,31
598,25,31
599,25,30
600,25,29
601,26,29
602,26,30
603,26,31
604,27,31
605,27,30
606,27,29
607,28,29
608,28,30
609,28,31
610,29,31
611,29,30
612,29,29
613,30,29
614,30,30
615,30,31
616,31,31
617,31,30
618,31,29
619,31,28
620,30,28
621,29,28
622,28,28
623,27,28
624,26,28
625,26,27
626,27,27
627,28,27
628,29,27
629,30,27
630,31,27
631,31,26
632,30,26
633,29,26
634,28,26
635,27,26
636,26,26
637,26,25
638,27,25
639,28,25
640,29,25
641,30,25
642,31,25
643,31,24
644,30,24
645,29,24
646,28,24
647,27,24
648,26,24
649,26,23
650,27,23
651,28,23
652,29,23
653,30,23
654,31,23
655,31,22
656,30,22
657,29,22
658,28,22
659,27,22
660,26,22
661,26,21
662,27,21
663,28,21
664,29,21
665,30,21
666,31,21
667,31,20
668,30,20
669,29,20
670,29,19
671,30,19
672,31,19
673,31,18
674,31,17
675,30,17
676,30,18
677,29,18
678,29,17
679,28,17
680,28,18
681,28,19
682,28,20
683,27,20
684,27,19
685,27,18
686,27,17
687,26,17
688,26,18
689,26,19
690,26,20
691,25,20
692,25,19
693,25,18
694,25,17
695,24,17
696,24,18
697,24,19
698,24,20
699,23,20
700,23,19
701,23,18
702,23,17
703,22,17
704,22,18
705,22,19
706,22,20
707,21,20
708,21,19
709,21,18
710,21,17
711,20,17
712,20,18
713,20,19
714,20,20
715,19,20
716,19,19
717,19,18
718,19,17
719,18,17
720,18,18
721,18,19
722,18,20
723,17,20
724,17,19
725,16,19
726,16,20
727,15,20
728,15,19
729,15,18
730,16,18
731,17,18
732,17,17
733,16,17
734,15,17
735,15,16
736,16,16
737,17,16
738,17,15
739,16,15
740,15,15
741,15,14
742,16,14
743,17,14
744,17,13
745,16,13
746,15,13
747,15,12
748,16,12
749,17,12
750,18,12
751,18,13
752,18,14
753,18,15
754,18,16
755,19,16
756,19,15
757,19,14
758,19,13
759,19,12
760,20,12
761,20,13
762,20,14
763,20,15
764,20,16
765,21,16
766,21,15
767,21,14
768,21,13
769,21,12
770,22,12
771,22,13
772,22,14
773,22,15
774,22,16
775,23,16
776,23,15
777,23,14
778,23,13
779,23,12
780,24,12
781,24,13
782,24,14
783,24,15
784,24,16
785,25,16
786,26,16
787,26,15
788,25,15
789,25,14
790,26,14
791,26,13
792,25,13
793,25,12
794,26,12
795,27,12
796,27,13
797,27,14
798,27,15
799,27,16
800,28,16
801,28,15
802,28,14
803,29,14
804,29,15
805,29,16
806,30,16
807,31,16
808,31,15
809,30,15
810,30,14
811,31,14
812,31,13
813,30,13
814,29,13
815,28,13
816,28,12
817,29,12
818,30,12
819,31,12
820,31,11
821,30,11
822,29,11
823,29,10
824,30,10
825,31,10
826,31,9
827,31,8
828,30,8
829,30,9
830,29,9
831,29,8
832,28,8
833,28,9
834,28,10
835,28,11
836,27,11
837,27,10
838,27,9
839,27,8
840,26,8
841,26,9
842,26,10
843,26,11
844,25,11
845,25,10
846,25,9
847,25,8
848,24,8
849,24,9
850,24,10
851,24,11
852,23,11
853,23,10
854,23,9
855,23,8
856,22,8
857,22,9
858,22,10
859,22,11
860,21,11
861,20,11
862,20,10
863,21,10
864,21,9
865,20,9
866,19,9
867,19,10
868,19,11
869,18,11
870,18,10
871,18,9
872,17,9
873,17,10
874,17,11
875,16,11
876,15,11
877,15,10
878,16,10
879,16,9
880,15,9
881,15,8
882,16,8
883,17,8
884,18,8
885,19,8
886,20,8
887,21,8
888,21,7
889,20,7
890,19,7
891,18,7
892,17,7
893,16,7
894,15,7
895,15,6
896,16,6
897,17,6
898,18,6
899,19,6
900,20,6
901,20,5
902,19,5
903,18,5
904,17,5
905,16,5
906,15,5
907,15,4
908,16,4
909,17,4
910,18,4
911,18,3
912,17,3
913,16,3
914,15,3
915,15,2
916,16,2
917,16,1
918,15,1
919,15,0
920,16,0
921,17,0
922,17,1
923,17,2
924,18,2
925,18,1
926,18,0
927,19,0
928,19,1
929,19,2
930,19,3
931,19,4
932,20,4
933,20,3
934,20,2
935,20,1
936,20,0
937,21,0
938,22,0
939,22,1
940,21,1
941,21,2
942,22,2
943,22,3
944,21,3
945,21,4
946,22,4
947,22,5
948,21,5
949,21,6
950,22,6
951,22,7
952,23,7
953,23,6
954,23,5
955,23,4
956,23,3
957,23,2
958,23,1
959,23,0
960,24,0
961,24,1
962,24,2
963,24,3
964,24,4
965,24,5
966,24,6
967,24,7
968,25,7
969,25,6
970,25,5
971,25,4
972,25,3
973,25,2
974,25,1
975,25,0
976,26,0
977,26,1
978,26,2
979,26,3
980,26,4
981,26,5
982,26,6
983,26,7
984,27,7
985,27,6
986,27,5
987,27,4
988,27,3
989,27,2
990,27,1
991,27,0
992,28,0
993,28,1
994,28,2
995,28,3
996,28,4
997,28,5
998,28,6
999,28,7
1000,29,7
1001,29,6
1002,30,6
1003,30,7
1004,31,7
1005,31,6
1006,31,5
1007,30,5
1008,29,5
1009,29,4
1010,30,4
1011,31,4
1012,31,3
1013,30,3
1014,29,3
1015,29,2
1016,30,2
1017,31,2
1018,31,1
1019,30,1
1020,29,1
1021,29,0
1022,30,0
1023,31,0
