step,x,y
0,0,0
1,0,1
2,1,1
3,1,0
4,2,0
5,2,1
6,2,2
7,1,2
8,0,2
9,0,3
10,1,3
11,2,3
12,2,4
13,1,4
14,0,4
15,0,5
16,1,5
17,2,5
18,3,5
19,3,4
20,3,3
21,3,2
22,3,1
23,3,0
24,4,0
25,4,1
26,4,2
27,4,3
28,4,4
29,4,5
30,5,5
31,5,4
32,5,3
33,5,2
34,5,1
35,5,0
36,6,0
37,6,1
38,6,2
39,6,3
40,6,4
41,6,5
42,7,5
43,7,4
44,7,3
45,7,2
46,7,1
47,7,0
48,8,0
49,8,1
50,8,2
51,8,3
52,8,4
53,8,5
54,9,5
55,9,4
56,9,3
57,9,2
58,9,1
59,9,0
60,10,0
61,10,1
62,10,2
63,10,3
64,10,4
65,10,5
66,11,5
67,11,4
68,11,3
69,11,2
70,11,1
71,11,0
72,12,0
73,12,1
74,13,1
75,13,0
76,14,0
77,14,1
78,14,2
79,13,2
80,12,2
81,12,3
82,13,3
83,14,3
84,14,4
85,13,4
86,12,4
87,12,5
88,13,5
89,14,5
90,14,6
91,13,6
92,12,6
93,12,7
94,13,7
95,14,7
96,14,8
97,14,9
98,13,9
99,13,8
100,12,8
101,12,9
102,11,9
103,11,8
104,11,7
105,11,6
106,10,6
107,10,7
108,10,8
109,10,9
110,9,9
111,9,8
112,9,7
113,9,6
114,8,6
115,8,7
116,8,8
117,8,9
118,7,9
119,7,8
120,7,7
121,7,6
122,6,6
123,6,7
124,6,8
125,6,9
126,5,9
127,5,8
128,5,7
129,5,6
130,4,6
131,4,7
132,4,8
133,4,9
134,3,9
135,3,8
136,3,7
137,3,6
138,2,6
139,2,7
140,1,7
141,1,6
142,0,6
143,0,7
144,0,8
145,1,8
146,2,8
147,2,9
148,1,9
149,0,9
150,0,10
151,0,11
152,1,11
153,1,10
154,2,10
155,2,11
156,3,11
157,3,10
158,4,10
159,4,11
160,5,11
161,5,10
162,6,10
163,6,11
164,7,11
165,7,10
166,8,10
167,8,11
168,9,11
169,9,10
170,10,10
171,10,11
172,11,11
173,11,10
174,12,10
175,12,11
176,13,11
177,13,10
178,14,10
179,14,11
180,14,12
181,14,13
182,13,13
183,13,12
184,12,12
185,12,13
186,11,13
187,11,12
188,10,12
189,10,13
190,9,13
191,9,12
192,8,12
193,8,13
194,7,13
195,7,12
196,6,12
197,6,13
198,5,13
199,5,12
200,4,12
201,4,13
202,3,13
203,3,12
204,2,12
205,1,12
206,0,12
207,0,13
208,1,13
209,2,13
210,2,14
211,1,14
212,0,14
213,0,15
214,1,15
215,2,15
216,2,16
217,1,16
218,0,16
219,0,17
220,1,17
221,2,17
222,3,17
223,3,16
224,3,15
225,3,14
226,4,14
227,4,15
228,4,16
229,4,17
230,5,17
231,5,16
232,5,15
233,5,14
234,6,14
235,6,15
236,6,16
237,6,17
238,7,17
239,7,16
240,7,15
241,7,14
242,8,14
243,8,15
244,8,16
245,8,17
246,9,17
247,9,16
248,9,15
249,9,14
250,10,14
251,10,15
252,10,16
253,10,17
254,11,17
255,11,16
256,11,15
257,11,14
258,12,14
259,12,15
260,13,15
261,13,14
262,14,14
263,14,15
264,14,16
265,13,16
266,12,16
267,12,17
268,13,17
269,14,17
270,14,18
271,13,18
272,12,18
273,12,19
274,13,19
275,14,19
276,14,20
277,13,20
278,12,20
279,11,20
280,11,19
281,11,18
282,10,18
283,10,19
284,10,20
285,9,20
286,9,19
287,9,18
288,8,18
289,8,19
290,8,20
291,7,20
292,7,19
293,7,18
294,6,18
295,6,19
296,6,20
297,5,20
298,5,19
299,5,18
300,4,18
301,4,19
302,4,20
303,3,20
304,3,19
305,3,18
306,2,18
307,1,18
308,0,18
