step,x,y
0,0,0
1,0,1
2,1,1
3,1,0
4,2,0
5,2,1
6,3,1
7,3,0
8,4,0
9,4,1
10,4,2
11,3,2
12,2,2
13,1,2
14,0,2
15,0,3
16,1,3
17,2,3
18,3,3
19,4,3
20,4,4
21,3,4
22,2,4
23,1,4
24,0,4
25,0,5
26,1,5
27,2,5
28,3,5
29,4,5
30,4,6
31,3,6
32,2,6
33,1,6
34,0,6
35,0,7
36,1,7
37,1,8
38,0,8
39,0,9
40,1,9
41,2,9
42,2,8
43,2,7
44,3,7
45,3,8
46,3,9
47,4,9
48,4,8
49,4,7
50,5,7
51,5,8
52,5,9
53,6,9
54,6,8
55,6,7
56,7,7
57,7,8
58,7,9
59,8,9
60,9,9
61,9,8
62,8,8
63,8,7
64,9,7
65,9,6
66,8,6
67,7,6
68,6,6
69,5,6
70,5,5
71,6,5
72,7,5
73,8,5
74,9,5
75,9,4
76,8,4
77,7,4
78,6,4
79,5,4
80,5,3
81,6,3
82,7,3
83,8,3
84,9,3
85,9,2
86,8,2
87,7,2
88,6,2
89,5,2
90,5,1
91,5,0
92,6,0
93,6,1
94,7,1
95,7,0
96,8,0
97,8,1
98,9,1
99,9,0
