step,x,y
0,0,0
1,0,1
2,0,2
3,1,2
4,1,1
5,1,0
6,2,0
7,2,1
8,2,2
9,3,2
10,3,1
11,3,0
12,4,0
13,5,0
14,5,1
15,4,1
16,4,2
17,5,2
18,5,3
19,4,3
20,3,3
21,2,3
22,1,3
23,0,3
24,0,4
25,1,4
26,2,4
27,3,4
28,4,4
29,5,4
30,5,5
31,4,5
32,3,5
33,2,5
34,1,5
35,0,5
36,0,6
37,1,6
38,2,6
39,3,6
40,3,7
41,2,7
42,1,7
43,0,7
44,0,8
45,1,8
46,1,9
47,0,9
48,0,10
49,1,10
50,2,10
51,2,9
52,2,8
53,3,8
54,3,9
55,3,10
56,4,10
57,4,9
58,4,8
59,4,7
60,4,6
61,5,6
62,5,7
63,5,8
64,5,9
65,5,10
66,6,10
67,6,9
68,6,8
69,6,7
70,7,7
71,7,8
72,7,9
73,7,10
74,8,10
75,8,9
76,9,9
77,9,10
78,10,10
79,10,9
80,10,8
81,9,8
82,8,8
83,8,7
84,9,7
85,10,7
86,10,6
87,9,6
88,8,6
89,7,6
90,6,6
91,6,5
92,7,5
93,8,5
94,9,5
95,10,5
96,10,4
97,9,4
98,8,4
99,7,4
100,6,4
101,6,3
102,7,3
103,8,3
104,9,3
105,10,3
106,10,2
107,9,2
108,8,2
109,7,2
110,6,2
111,6,1
112,6,0
113,7,0
114,7,1
115,8,1
116,8,0
117,9,0
118,9,1
119,10,1
120,10,0
