step,x,y
0,0,0
1,0,1
2,0,2
3,1,2
4,1,1
5,1,0
6,2,0
7,2,1
8,2,2
9,3,2
10,3,1
11,3,0
12,4,0
13,4,1
14,4,2
15,5,2
16,5,1
17,5,0
18,6,0
19,6,1
20,6,2
21,6,3
22,5,3
23,4,3
24,3,3
25,2,3
26,1,3
27,0,3
28,0,4
29,1,4
30,2,4
31,3,4
32,4,4
33,5,4
34,6,4
35,6,5
36,5,5
37,4,5
38,3,5
39,2,5
40,1,5
41,0,5
42,0,6
43,1,6
44,2,6
45,3,6
46,4,6
47,5,6
48,6,6
49,6,7
50,5,7
51,4,7
52,3,7
53,2,7
54,1,7
55,0,7
56,0,8
57,1,8
58,2,8
59,3,8
60,4,8
61,5,8
62,6,8
63,6,9
64,5,9
65,4,9
66,3,9
67,2,9
68,1,9
69,0,9
70,0,10
71,1,10
72,1,11
73,0,11
74,0,12
75,1,12
76,2,12
77,2,11
78,2,10
79,3,10
80,3,11
81,3,12
82,4,12
83,4,11
84,4,10
85,5,10
86,5,11
87,5,12
88,6,12
89,6,11
90,6,10
91,7,10
92,7,11
93,7,12
94,8,12
95,8,11
96,8,10
97,9,10
98,9,11
99,9,12
100,10,12
101,10,11
102,10,10
103,10,9
104,9,9
105,8,9
106,7,9
107,7,8
108,8,8
109,9,8
110,10,8
111,10,7
112,9,7
113,8,7
114,7,7
115,7,6
116,7,5
117,8,5
118,8,6
119,9,6
120,9,5
121,9,4
122,8,4
123,7,4
124,7,3
125,8,3
126,9,3
127,9,2
128,8,2
129,7,2
130,7,1
131,7,0
132,8,0
133,8,1
134,9,1
135,9,0
136,10,0
137,10,1
138,10,2
139,10,3
140,10,4
141,10,5
142,10,6
143,11,6
144,11,5
145,11,4
146,11,3
147,11,2
148,11,1
149,11,0
150,12,0
151,12,1
152,13,1
153,13,0
154,14,0
155,14,1
156,14,2
157,13,2
158,12,2
159,12,3
160,13,3
161,14,3
162,14,4
163,13,4
164,12,4
165,12,5
166,12,6
167,13,6
168,13,5
169,14,5
170,14,6
171,14,7
172,13,7
173,12,7
174,11,7
175,11,8
176,12,8
177,13,8
178,13,9
179,12,9
180,11,9
181,11,10
182,12,10
183,13,10
184,13,11
185,12,11
186,11,11
187,11,12
188,12,12
189,13,12
190,14,12
191,15,12
192,15,11
193,14,11
194,14,10
195,15,10
196,15,9
197,14,9
198,14,8
199,15,8
200,15,7
201,15,6
202,15,5
203,15,4
204,15,3
205,15,2
206,15,1
207,15,0
208,16,0
209,16,1
210,16,2
211,17,2
212,17,1
213,17,0
214,18,0
215,19,0
216,19,1
217,18,1
218,18,2
219,19,2
220,19,3
221,18,3
222,17,3
223,16,3
224,16,4
225,17,4
226,18,4
227,19,4
228,19,5
229,18,5
230,17,5
231,16,5
232,16,6
233,17,6
234,18,6
235,19,6
236,19,7
237,18,7
238,17,7
239,16,7
240,16,8
241,17,8
242,18,8
243,19,8
244,19,9
245,18,9
246,17,9
247,16,9
248,16,10
249,16,11
250,16,12
251,17,12
252,17,11
253,17,10
254,18,10
255,18,11
256,18,12
257,19,12
258,19,11
259,19,10
260,20,10
261,20,11
262,20,12
263,21,12
264,22,12
265,22,11
266,21,11
267,21,10
268,22,10
269,22,9
270,21,9
271,20,9
272,20,8
273,21,8
274,22,8
275,22,7
276,21,7
277,20,7
278,20,6
279,21,6
280,22,6
281,22,5
282,21,5
283,20,5
284,20,4
285,21,4
286,22,4
287,22,3
288,21,3
289,20,3
290,20,2
291,20,1
292,20,0
293,21,0
294,21,1
295,21,2
296,22,2
297,22,1
298,22,0
299,23,0
300,24,0
301,24,1
302,23,1
303,23,2
304,24,2
305,24,3
306,23,3
307,23,4
308,23,5
