step,x,y
0,0,0
1,1,0
2,2,0
3,3,0
4,3,1
5,2,1
6,1,1
7,0,1
8,0,2
9,1,2
10,2,2
11,3,2
12,3,3
13,2,3
14,1,3
15,0,3
16,0,4
17,1,4
18,2,4
19,3,4
20,3,5
21,2,5
22,1,5
23,0,5
24,0,6
25,1,6
26,1,7
27,0,7
28,0,8
29,1,8
30,2,8
31,2,7
32,2,6
33,3,6
34,3,7
35,3,8
36,4,8
37,4,7
38,4,6
39,4,5
40,5,5
41,5,6
42,5,7
43,5,8
44,6,8
45,6,7
46,7,7
47,7,8
48,8,8
49,8,7
50,8,6
51,7,6
52,6,6
53,6,5
54,7,5
55,8,5
56,8,4
57,7,4
58,6,4
59,5,4
60,4,4
61,4,3
62,5,3
63,6,3
64,7,3
65,8,3
66,8,2
67,7,2
68,6,2
69,5,2
70,4,2
71,4,1
72,4,0
73,5,0
74,5,1
75,6,1
76,6,0
77,7,0
78,7,1
79,8,1
80,8,0
