step,x,y
0,0,0
1,0,1
2,1,1
3,1,0
4,2,0
5,2,1
6,3,1
7,3,0
8,4,0
9,4,1
10,4,2
11,3,2
12,2,2
13,1,2
14,0,2
15,0,3
16,1,3
17,2,3
18,3,3
19,4,3
20,4,4
21,3,4
22,2,4
23,1,4
24,0,4
25,0,5
26,1,5
27,2,5
28,3,5
29,4,5
30,4,6
31,3,6
32,2,6
33,1,6
34,0,6
35,0,7
36,1,7
37,2,7
38,3,7
39,4,7
40,4,8
41,3,8
42,2,8
43,1,8
44,0,8
45,0,9
46,1,9
47,2,9
48,3,9
49,4,9
50,4,10
51,3,10
52,2,10
53,1,10
54,0,10
55,0,11
56,1,11
57,2,11
58,3,11
59,4,11
60,4,12
61,3,12
62,2,12
63,1,12
64,0,12
65,0,13
66,1,13
67,2,13
68,2,14
69,1,14
70,0,14
71,0,15
72,1,15
73,2,15
74,3,15
75,3,14
76,3,13
77,4,13
78,4,14
79,4,15
80,5,15
81,5,14
82,5,13
83,6,13
84,6,14
85,6,15
86,7,15
87,7,14
88,7,13
89,7,12
90,6,12
91,5,12
92,5,11
93,6,11
94,7,11
95,7,10
96,6,10
97,5,10
98,5,9
99,6,9
100,7,9
101,7,8
102,6,8
103,5,8
104,5,7
105,6,7
106,7,7
107,7,6
108,6,6
109,5,6
110,5,5
111,6,5
112,7,5
113,7,4
114,6,4
115,5,4
116,5,3
117,6,3
118,7,3
119,7,2
120,6,2
121,5,2
122,5,1
123,5,0
124,6,0
125,6,1
126,7,1
127,7,0
128,8,0
129,8,1
130,9,1
131,9,0
132,10,0
133,10,1
134,10,2
135,9,2
136,8,2
137,8,3
138,9,3
139,10,3
140,10,4
141,9,4
142,8,4
143,8,5
144,9,5
145,10,5
146,10,6
147,9,6
148,8,6
149,8,7
150,9,7
151,10,7
152,10,8
153,9,8
154,8,8
155,8,9
156,9,9
157,10,9
158,10,10
159,9,10
160,8,10
161,8,11
162,9,11
163,10,11
164,10,12
165,9,12
166,8,12
167,8,13
168,9,13
169,9,14
170,8,14
171,8,15
172,9,15
173,10,15
174,10,14
175,10,13
176,11,13
177,11,14
178,11,15
179,12,15
180,12,14
181,12,13
182,13,13
183,13,14
184,13,15
185,14,15
186,15,15
187,15,14
188,14,14
189,14,13
190,15,13
191,15,12
192,14,12
193,13,12
194,12,12
195,11,12
196,11,11
197,12,11
198,13,11
199,14,11
200,15,11
201,15,10
202,14,10
203,13,10
204,12,10
205,11,10
206,11,9
207,12,9
208,13,9
209,14,9
210,15,9
211,15,8
212,14,8
213,13,8
214,12,8
215,11,8
216,11,7
217,12,7
218,13,7
219,14,7
220,15,7
221,15,6
222,14,6
223,13,6
224,12,6
225,11,6
226,11,5
227,12,5
228,13,5
229,14,5
230,15,5
231,15,4
232,14,4
233,13,4
234,12,4
235,11,4
236,11,3
237,12,3
238,13,3
239,14,3
240,15,3
241,15,2
242,14,2
243,13,2
244,12,2
245,11,2
246,11,1
247,11,0
248,12,0
249,12,1
250,13,1
251,13,0
252,14,0
253,14,1
254,15,1
255,15,0
